question,summary_answer,difficulty,text,id
importance of reliable benchmarks in AI,"It emphasizes that many benchmarks may not accurately measure the intended metrics, stressing the need for careful evaluation.",beginner,"writing benchmarks. As new benchmarks are constantly introduced and old
benchmarks become saturated, you should look for the latest benchmarks.
Make sure to evaluate how reliable a benchmark is. Because anyone can
create and publish a benchmark, many benchmarks might not be measuring
what you expect them to measure.",a762b76e
what is evaluation-driven development in ai?,"Evaluation-driven development refers to the approach of establishing evaluation criteria before building an AI application, similar to how test-driven development focuses on writing tests before code.",beginner,"Before investing time, money, and resources into building an application,
it’s important to understand how this application will be evaluated. I call
this approach evaluation-driven development. The name is inspired by test-
driven development in software engineering, which refers to the method of
writing tests before writing code. In AI engineering, evaluation-driven
development means defining evaluation criteria before building.",aa6103f5
performance differences in model APIs,"The excerpt mentions that the same AI model may perform differently across various APIs due to optimization techniques used, which necessitates thorough testing when switching APIs.",intermediate,"After developing a model, a developer can choose to open source it, make it
accessible via an API, or both. Many model developers are also model
service providers. Cohere and Mistral open source some models and
provide APIs for some. OpenAI is typically known for their commercial
models, but they’ve also open sourced models (GPT-2, CLIP). Typically,
model providers open source weaker models and keep their best models
behind paywalls, either via APIs or to power their products.
Model APIs can be available through model providers (such as OpenAI and
Anthropic), cloud service providers (such as Azure and GCP [Google Cloud
Platform]), or third-party API providers (such as Databricks Mosaic,
Anyscale, etc.). The same model can be available through different APIs
with different features, constraints, and pricings. For example, GPT-4 is
available through both OpenAI and Azure APIs. There might be slight
differences in the performance of the same model provided through
different APIs, as different APIs might use different techniques to optimize
this model, so make sure to run thorough tests when you switch between
model APIs.
Commercial models are only accessible via APIs licensed by the model
13
developers. Open source models can be supported by any API provider,
allowing you to pick and choose the provider that works best for you. For
commercial model providers, models are their competitive advantages. For
API providers that don’t have their own models, APIs are their competitive",db22bdaa
why do OpenAI models seem worse after updates,"The article mentions that users often perceive OpenAI's models as deteriorating post-update, supported by a study indicating significant performance changes in GPT-3.5 and GPT-4 between March and June 2023.",beginner,"ARE OPENAI’S MODELS GETTING WORSE?
Every time OpenAI updates its models, people complain that their models
seem to be getting worse. For example, a study by Stanford and UC
Berkeley (Chen et al., 2023) found that for many benchmarks, both GPT-
3.5 and GPT-4’s performances changed significantly between March 2023
and June 2023, as shown in Figure 4-9.
Figure 4-9. Changes in the performances of GPT-3.5 and GPT-4 from March 2023 to
June 2023 on certain benchmarks (Chen et al., 2023).",0b498d7c
Why did Samsung ban ChatGPT?,"Samsung banned ChatGPT due to a serious incident involving leaked information, the details of which remain unclear, highlighting concerns over data security and privacy.",beginner,"15
company’s secrets. It’s unclear how Samsung discovered this leak and
how the leaked information was used against Samsung. However, the
incident was serious enough for Samsung to ban ChatGPT in May 2023.
Some countries have laws that forbid sending certain data outside their
borders. If a model API provider wants to serve these use cases, they will
have to set up servers in these countries.
If you use a model API, there’s a risk that the API provider will use your
data to train its models. Even though most model API providers claim they
don’t do that, their policies can change. In August 2023, Zoom faced a
backlash after people found out the company had quietly changed its terms
of service to let Zoom use users’ service-generated data, including product
usage data and diagnostics data, to train its AI models.
What’s the problem with people using your data to train their models?
While research in this area is still sparse, some studies suggest that AI
models can memorize their training samples. For example, it’s been found
that Hugging Face’s StarCoder model memorizes 8% of its training set.
These memorized samples can be accidentally leaked to users or
intentionally exploited by bad actors, as demonstrated in Chapter 5.
Data lineage and copyright
Data lineage and copyright concerns can steer a company in many
directions: toward open source models, toward proprietary models, or away",d188bbdb
methods for decontaminating evaluation data,"The text emphasizes the need to actively decontaminate data after detecting contamination, which ensures that evaluation benchmarks accurately represent model performance without bias from previously seen samples.",intermediate,"to evaluate it on contaminated benchmarks, but this might still be the right
thing to do.
Handling data contamination
The prevalence of data contamination undermines the trustworthiness of
evaluation benchmarks. Just because a model can achieve high performance
on bar exams doesn’t mean it’s good at giving legal advice. It could just be
that this model has been trained on many bar exam questions.
To deal with data contamination, you first need to detect the contamination,
and then decontaminate your data. You can detect contamination using
heuristics like n-gram overlapping and perplexity:
N-gram overlapping
For example, if a sequence of 13 tokens in an evaluation sample is
also in the training data, the model has likely seen this evaluation
sample during training. This evaluation sample is considered dirty.
Perplexity
Recall that perplexity measures how difficult it is for a model to
predict a given text. If a model’s perplexity on evaluation data is
unusually low, meaning the model can easily predict the text, it’s
possible that the model has seen this data before during training.",4e5a0a1f
best practices for evaluating generative AI responses,"Best practices involve clearly stating what constitutes a good response, considering multiple criteria for evaluation, and recognizing that a correct response may not always be a good one in practical applications.",expert,"When creating the evaluation guideline, it’s important to define not only
what the application should do, but also what it shouldn’t do. For example,
if you build a customer support chatbot, should this chatbot answer
questions unrelated to your product, such as about an upcoming election? If
not, you need to define what inputs are out of the scope of your application,
how to detect them, and how your application should respond to them.
Define evaluation criteria
Often, the hardest part of evaluation isn’t determining whether an output is
good, but rather what good means. In retrospect of one year of deploying
generative AI applications, LinkedIn shared that the first hurdle was in
creating an evaluation guideline. A correct response is not always a good
response. For example, for their AI-powered Job Assessment application,
the response “You are a terrible fit” might be correct but not helpful, thus
making it a bad response. A good response should explain the gap between
this job’s requirements and the candidate’s background, and what the
candidate can do to close this gap.
Before building your application, think about what makes a good response.
LangChain’s State of AI 2023 found that, on average, their users used 2.3
different types of feedback (criteria) to evaluate an application. For
example, for a customer support application, a good response might be
defined using three criteria:",571b56b8
limitations of public benchmarks in AI evaluation,"The text warns that while public benchmarks can filter out poor models, they may not identify the best fit for specific applications due to issues like contamination and unclear aggregation processes.",expert,"evolved from traditional NLP, including fluency, coherence, and
faithfulness.
To help answer the question of whether to host a model or to use a model
API, this chapter outlined the pros and cons of each approach along seven
axes, including data privacy, data lineage, performance, functionality,
control, and cost. This decision, like all the build versus buy decisions, is
unique to every team, depending not only on what the team needs but also
on what the team wants.
This chapter also explored the thousands of available public benchmarks.
Public benchmarks can help you weed out bad models, but they won’t help
you find the best models for your applications. Public benchmarks are also
likely contaminated, as their data is included in the training data of many
models. There are public leaderboards that aggregate multiple benchmarks
to rank models, but how benchmarks are selected and aggregated is not a
clear process. The lessons learned from public leaderboards are helpful for
model selection, as model selection is akin to creating a private leaderboard
to rank models based on your needs.
This chapter ends with how to use all the evaluation techniques and criteria
discussed in the last chapter and how to create an evaluation pipeline for
your application. No perfect evaluation method exists. It’s impossible to
capture the ability of a high-dimensional system using one- or few-
dimensional scores. Evaluating modern AI systems has many limitations",e53ab75a
evaluating generative AI models,"The text discusses how functional correctness is a key evaluation metric for generative AI in coding tasks, contrasting it with the challenges of evaluating more open-ended applications.",intermediate,"EVALUATION-DRIVEN DEVELOPMENT
While some companies chase the latest hype, sensible business decisions
are still being made based on returns on investment, not hype. Applications
should demonstrate value to be deployed. As a result, the most common
enterprise applications in production are those with clear evaluation criteria:
Recommender systems are common because their successes can be
1
evaluated by an increase in engagement or purchase-through rates.
The success of a fraud detection system can be measured by how much
money is saved from prevented frauds.
Coding is a common generative AI use case because, unlike other
generation tasks, generated code can be evaluated using functional
correctness.
Even though foundation models are open-ended, many of their use cases
are close-ended, such as intent classification, sentiment analysis, next-
action prediction, etc. It’s much easier to evaluate classification tasks
than open-ended tasks.
While the evaluation-driven development approach makes sense from a
business perspective, focusing only on applications whose outcomes can be
measured is similar to looking for the lost key under the lamppost (at night).
It’s easier to do, but it doesn’t mean we’ll find the key. We might be missing
out on many potentially game-changing applications because there is no
easy way to evaluate them.",80fcbdd3
measuring safety and factual consistency in generative models,"Evaluating safety includes assessing biases and toxicity in AI outputs, while factual consistency is crucial to prevent harmful misinformation in applications.",expert,"and coherence, then, were important metrics to track. However, as language
models’ generation capabilities have improved, AI-generated texts have
become nearly indistinguishable from human-generated texts. Fluency and
2
coherence become less important. However, these metrics can still be
useful for weaker models or for applications involving creative writing and
low-resource languages. Fluency and coherence can be evaluated using AI
as a judge—asking an AI model how fluent and coherent a text is—or using
perplexity, as discussed in Chapter 3.
Generative models, with their new capabilities and new use cases, have new
issues that require new metrics to track. The most pressing issue is
undesired hallucinations. Hallucinations are desirable for creative tasks, not
for tasks that depend on factuality. A metric that many application
developers want to measure is factual consistency. Another issue commonly
tracked is safety: can the generated outputs cause harm to users and
society? Safety is an umbrella term for all types of toxicity and biases.
There are many other measurements that an application developer might
care about. For example, when I built my AI-powered writing assistant, I
cared about controversiality, which measures content that isn’t necessarily
harmful but can cause heated debates. Some people might care about
friendliness, positivity, creativity, or conciseness, but I won’t be able to go
into them all. This section focuses on how to evaluate factual consistency
and safety. Factual inconsistency can cause harm too, so it’s technically
under safety. However, due to its scope, I put it in its own section. The",bd3a7ced
